Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,Mode,TStep,Skip,Comment,URCALL,RPT1CALL,RPT2CALL
87,FRS04,462.637500,,0.000000,,88.5,88.5,023,NN,FM,6.25,S,,,,,
88,FRS05,462.662500,,0.000000,,88.5,88.5,023,NN,FM,6.25,S,,,,,
89,FRS06,462.687500,,0.000000,,88.5,88.5,023,NN,FM,6.25,S,,,,,
90,FRS07,462.712500,,0.000000,,88.5,88.5,023,NN,FM,6.25,S,,,,,
91,FRS08,467.562500,,0.000000,,88.5,88.5,023,NN,FM,6.25,S,,,,,
92,FRS09,467.587500,,0.000000,,88.5,88.5,023,NN,FM,6.25,S,,,,,
93,FRS10,467.612500,,0.000000,,88.5,88.5,023,NN,FM,6.25,S,,,,,
94,FRS11,467.637500,,0.000000,,88.5,88.5,023,NN,FM,6.25,S,,,,,
95,FRS12,467.662500,,0.000000,,88.5,88.5,023,NN,FM,6.25,S,,,,,
96,FRS13,467.687500,,0.000000,,88.5,88.5,023,NN,FM,6.25,S,,,,,
97,FRS14,467.712500,,0.000000,,88.5,88.5,023,NN,FM,6.25,S,,,,,
98,FRS15,462.550000,,0.000000,TSQL,123.0,123.0,023,NN,FM,6.25,,,,,,
99,FRS16,462.575000,,0.000000,,88.5,88.5,023,NN,FM,6.25,S,,,,,
100,FRS17,462.600000,,0.000000,,88.5,88.5,023,NN,FM,6.25,S,,,,,
101,FRS18,462.625000,,0.000000,,88.5,88.5,023,NN,FM,6.25,S,,,,,
102,FRS19,462.650000,,0.000000,,88.5,88.5,023,NN,FM,6.25,S,,,,,
103,FRS20,462.675000,,0.000000,,88.5,88.5,023,NN,FM,6.25,S,,,,,
104,FRS21,462.700000,,0.000000,,88.5,88.5,023,NN,FM,6.25,S,,,,,
105,FRS22,462.725000,,0.000000,,88.5,88.5,023,NN,FM,6.25,S,,,,,
106,M0,156.000000,,0.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
107,M1,156.050000,,0.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
108,M2,156.100000,,0.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
109,M3,156.150000,,0.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
110,M4,156.200000,,0.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
111,M5,156.250000,,0.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
112,M6,156.300000,,0.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
113,M7,156.350000,,0.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
114,M8,156.400000,,0.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
115,M9,156.450000,,0.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
116,M10,156.500000,,0.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
117,M11,156.550000,,0.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
118,M12,156.600000,,0.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
119,M13,156.650000,,0.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
120,M14,156.700000,,0.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
121,M15,156.750000,,0.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
122,M16,156.800000,,0.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
123,M17,156.850000,,0.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
124,M18,156.900000,,0.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
125,M19,156.950000,,0.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
126,M20,157.000000,,0.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
127,M21,157.050000,,0.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
128,M22,157.100000,,0.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
129,M23,157.150000,,0.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
130,M24,157.200000,,0.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
131,M25,157.250000,,0.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
132,M26,157.300000,,0.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
133,M27,157.350000,,0.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
134,M28,157.400000,,0.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
135,M60,156.025000,,0.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
136,M61,156.075000,,0.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
137,M62,156.125000,,0.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
138,M63,156.175000,,0.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
139,M64,156.225000,,0.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
140,M65,156.275000,,0.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
141,M86,157.325000,,0.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
142,M87,157.375000,,0.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
143,M88,157.425000,,0.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
144,M87B,161.975000,,0.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
145,M88B,162.025000,,0.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
146,W1,162.400000,,0.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
147,W2,162.425000,,0.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
148,W3,162.450000,,0.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
149,W4,162.475000,,0.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
150,W5,162.500000,,0.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
151,W6,162.525000,,0.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
152,W7,162.550000,,0.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
153,MT LAUR,146.970000,-,0.600000,Tone,100.0,100.0,023,NN,FM,5.00,S,,,,,
154,MT TREM,146.720000,-,0.600000,Tone,100.0,100.0,023,NN,FM,5.00,S,,,,,
155,BROWNSB,146.805000,-,0.600000,Tone,100.0,100.0,023,NN,FM,5.00,,,,,,
156,StADOL,146.655000,-,0.600000,Tone,141.3,141.3,023,NN,FM,5.00,,,,,,
157,VE2REL,147.315000,+,0.600000,Tone,100.0,100.0,023,NN,FM,5.00,S,,,,,
158,LONGUEI,145.390000,,0.600000,Tone,100.0,100.0,023,NN,FM,5.00,S,,,,,
159,REHLUC,444.500000,+,5.000000,TSQL,123.0,123.0,023,NN,FM,12.50,S,,,,,
161,MRCP1,153.530000,,0.000000,TSQL,151.4,151.4,023,NN,FM,5.00,,,,,,
162,MRCP2,152.165000,,0.000000,TSQL,127.3,127.3,023,NN,FM,5.00,,,,,,
163,MRCP3,153.635000,,0.000000,TSQL,131.8,131.8,023,NN,FM,5.00,,,,,,
164,MRCP4,153.785000,,0.000000,TSQL,141.3,141.3,023,NN,FM,5.00,,,,,,
165,CASINO 1,458.087500,,0.000000,,100.0,100.0,023,NN,FM,12.50,,,,,,
166,CASINO 2,458.662500,,0.000000,,100.0,100.0,023,NN,FM,12.50,,,,,,
167,CASINO 3,464.500000,,0.000000,,100.0,100.0,023,NN,FM,12.50,,,,,,
168,CASINO 4,466.262500,,0.000000,,100.0,100.0,023,NN,FM,12.50,,,,,,
