Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,Mode,TStep,Skip,Comment,URCALL,RPT1CALL,RPT2CALL
88,METEO 3,162.475000,split,0.000088,,110.9,110.9,023,NN,FM,5.00,S,,,,,
89,CCN1,163.260000,split,0.000089,,100.0,100.0,023,NN,FM,5.00,S,,,,,
90,CCN2,164.430000,split,0.000090,,100.0,100.0,023,NN,FM,5.00,,,,,,
91,CCN3,410.487500,split,0.000091,Tone,110.9,110.9,023,NN,FM,12.50,,,,,,
92,VA3KPT,444.550000,+,5.000000,Tone,151.4,151.4,023,NN,FM,12.50,,,,,,
93,VE3MPC,444.400000,+,5.000000,Tone,100.0,100.0,023,NN,FM,12.50,,,,,,
94,Franktow,444.300000,+,5.000000,Tone,100.0,100.0,023,NN,FM,12.50,,,,,,
95,VE3TST,444.125000,+,5.000000,Tone,136.5,136.5,023,NN,FM,12.50,,,,,,
96,VE2CRA,443.300000,+,5.000000,Tone,100.0,100.0,023,NN,FM,12.50,,,,,,
97,Moose Cr,443.050000,+,5.000000,Tone,151.4,151.4,023,NN,FM,12.50,,,,,,
98,Grenvil,443.850000,+,5.000000,TSQL,123.0,123.0,023,NN,FM,12.50,,,,,,
99,VA2XAD-U,444.900000,+,5.000000,Tone,186.2,162.2,023,NN,FM,12.50,,,,,,
100,RAO-Chel,443.950000,+,5.000000,Tone,91.5,123.0,023,NN,FM,12.50,,,,,,
101,VA2UHF,444.250000,+,5.000000,TSQL,141.3,141.3,023,NN,FM,12.50,,,,,,
102,VE2RAO-U,443.950000,+,5.000000,TSQL,123.0,123.0,023,NN,FM,12.50,,,,,,
103,VE2REH-U,444.600000,+,5.000000,TSQL,110.9,110.9,023,NN,FM,12.50,,,,,,
104,REH-LINK,449.600000,,5.000000,TSQL,110.9,110.9,023,NN,FM,12.50,S,,,,,
105,VE2REG-U,444.600000,split,0.000105,TSQL,110.9,110.9,023,NN,FM,12.50,S,,,,,
106,Carl RPT,444.700000,+,5.000000,TSQL,123.0,123.0,023,NN,FM,12.50,,,,,,
107,Malone,444.650000,+,5.000000,Tone,110.9,110.9,023,NN,FM,12.50,,,,,,
108,RTQ-RAO,444.075000,+,5.000000,Tone,123.0,123.0,023,NN,FM,12.50,,,,,,
109,RTQ-RBH,449.075000,-,5.000000,,100.0,100.0,023,NN,FM,12.50,,,,,,
110,RTQ-RMT,449.800000,-,5.000000,,100.0,100.0,023,NN,FM,12.50,,,,,,
111,FR APPEL,446.000000,,5.000000,,100.0,100.0,023,NN,FM,12.50,,,,,,
